respondent_id,age,gender,educ,region,income,q1_policy_likert,q1_support_binary,q2_worry,q3_financial_stress,q4_econ_confidence,support_prob
R0249,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.24048908305088898
R0250,18-34,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Healthcare costs,4,1,0.34298953732650117
R0251,18-34,Woman,Bachelor+,West,Over $80k,Neither,0,Healthcare costs,3,3,0.3429895373265012
R0252,18-34,Man,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Retirement security,4,2,0.27888482197713693
R0253,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.24048908305088898
R0254,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,5,2,0.27888482197713693
R0255,18-34,Woman,Bachelor+,South,Over $80k,Neither,0,Healthcare costs,2,2,0.29943285752602705
R0256,35-49,Woman,Bachelor+,West,Under $40k,Neither,0,Wages not keeping up,3,2,0.45016600268752216
R0257,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,5,1,0.24048908305088898
R0258,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.31002551887238755
R0259,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3318122278318339
R0260,18-34,Woman,No college,West,Over $80k,Neither,0,Retirement security,5,2,0.401312339887548
R0261,18-34,Man,Bachelor+,Northeast,,Somewhat oppose,1,Healthcare costs,3,3,0.389360766050778
R0262,35-49,Man,Some college,Midwest,,Somewhat oppose,1,Wages not keeping up,4,2,0.320821300824607
R0263,50-64,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Housing costs,5,1,0.20587037180094733
R0264,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Housing costs,4,2,0.27888482197713693
R0265,50-64,Woman,No college,South,Over $80k,Somewhat oppose,0,Housing costs,4,1,0.27888482197713693
R0266,18-34,Man,Bachelor+,Northeast,Under $40k,Neither,1,Wages not keeping up,3,1,0.41338242108267
R0267,50-64,Man,Bachelor+,South,Over $80k,Somewhat oppose,1,Housing costs,5,3,0.18242552380635635
R0268,18-34,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,4,1,0.3775406687981454
R0269,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.24048908305088898
R0270,18-34,Man,Bachelor+,Northeast,$40k–$80k,Neither,0,Housing costs,3,2,0.389360766050778
R0271,50-64,Man,Some college,South,Over $80k,Somewhat oppose,0,Retirement security,4,1,0.24973989440488245
R0272,35-49,Man,Some college,South,Over $80k,Somewhat oppose,0,Housing costs,4,2,0.28905049737499605
R0273,35-49,Woman,Bachelor+,Northeast,,Neither,1,Healthcare costs,3,3,0.45016600268752216
R0274,18-34,Man,Bachelor+,Northeast,Under $40k,Neither,0,Job loss / automation,3,2,0.41338242108267
R0275,18-34,Woman,Some college,Northeast,Under $40k,Strongly support,0,Healthcare costs,4,3,0.5866175789173301
R0276,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,4,1,0.24048908305088898
R0277,35-49,Man,Some college,West,Over $80k,Strongly oppose,0,Wages not keeping up,4,2,0.3318122278318339
R0278,18-34,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,1,Wages not keeping up,3,3,0.41338242108267
R0279,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Wages not keeping up,4,1,0.29943285752602705
R0280,50-64,Man,No college,South,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,3,0.3208213008246071
R0281,18-34,Man,Some college,Midwest,Under $40k,Neither,0,Healthcare costs,4,4,0.5
R0282,65+,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Job loss / automation,4,3,0.289050497374996
R0283,35-49,Woman,Some college,South,Over $80k,Somewhat support,0,Wages not keeping up,4,2,0.35434369377420455
R0284,50-64,Woman,Bachelor+,South,,Somewhat oppose,0,Healthcare costs,4,2,0.23147521650098238
R0285,50-64,Man,No college,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.22270013882530884
R0286,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Retirement security,4,2,0.29943285752602705
R0287,18-34,Woman,Bachelor+,West,Over $80k,Neither,1,Healthcare costs,4,2,0.3429895373265012
R0288,18-34,Woman,Some college,West,Under $40k,Neither,1,Retirement security,3,2,0.5866175789173301
R0289,35-49,Woman,Some college,South,,Neither,1,Wages not keeping up,3,1,0.47502081252106
R0290,50-64,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.25922510081784605
R0291,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,3,0.3429895373265012
R0292,35-49,Man,Some college,Midwest,Over $80k,Strongly oppose,1,Retirement security,4,3,0.320821300824607
R0293,35-49,Man,Bachelor+,West,Under $40k,Somewhat oppose,0,Healthcare costs,4,1,0.3775406687981454
R0294,35-49,Man,Bachelor+,South,,Somewhat oppose,0,Wages not keeping up,4,2,0.21416501695744142
R0295,65+,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Housing costs,4,1,0.23147521650098232
R0296,35-49,Man,Bachelor+,West,Under $40k,Neither,0,Wages not keeping up,4,1,0.3775406687981454
R0297,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.24048908305088898
R0298,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.29943285752602705
R0299,18-34,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Healthcare costs,4,3,0.41338242108267
R0300,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.3429895373265012
R0301,35-49,Woman,No college,West,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.36586440898919936
R0302,18-34,Woman,No college,Midwest,Under $40k,Somewhat support,1,Job loss / automation,3,2,0.5374298453437496
R0303,35-49,Woman,Bachelor+,West,,Somewhat oppose,0,Healthcare costs,4,2,0.31002551887238755
R0304,18-34,Man,Some college,Midwest,Over $80k,Somewhat oppose,0,Retirement security,4,2,0.35434369377420455
R0305,18-34,Woman,Some college,South,,Neither,0,Job loss / automation,3,3,0.5124973964842103
R0306,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.27888482197713693
R0307,18-34,Woman,Bachelor+,West,Over $80k,Neither,0,Healthcare costs,3,2,0.3429895373265012
R0308,18-34,Man,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Retirement security,4,2,0.27888482197713693
R0309,18-34,Man,Some college,West,Over $80k,Neither,1,Housing costs,3,2,0.36586440898919936
R0310,35-49,Man,No college,South,Over $80k,Strongly oppose,0,Wages not keeping up,5,1,0.25922510081784605
R0311,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,3,2,0.29943285752602705
R0312,18-34,Woman,Bachelor+,Northeast,$40k–$80k,Neither,0,Retirement security,3,2,0.46257015465625045
R0313,35-49,Man,Bachelor+,Midwest,$40k–$80k,Neither,1,Healthcare costs,4,2,0.34298953732650117
R0314,18-34,Woman,Some college,Northeast,Over $80k,Neither,1,Housing costs,4,3,0.43782349911420193
R0315,18-34,Man,Some college,Northeast,,Neither,1,Healthcare costs,5,2,0.36586440898919936
R0316,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,3,0.35434369377420455
R0317,18-34,Woman,Bachelor+,South,$40k–$80k,Neither,1,Job loss / automation,4,2,0.41338242108267
R0318,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,3,0.24973989440488234
R0319,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.2689414213699951
R0320,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3429895373265012
R0321,35-49,Man,Bachelor+,West,Over $80k,Strongly oppose,0,Wages not keeping up,5,1,0.24973989440488234
R0322,18-34,Man,No college,West,Over $80k,Neither,0,Job loss / automation,4,2,0.3318122278318339
R0323,35-49,Woman,No college,Northeast,$40k–$80k,Neither,0,Healthcare costs,5,2,0.4875026035157896
R0324,35-49,Woman,Some college,West,Under $40k,Somewhat support,0,Healthcare costs,4,2,0.549833997312478
R0325,18-34,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Retirement security,4,1,0.34298953732650117
R0326,18-34,Man,Bachelor+,Midwest,$40k–$80k,Neither,0,Housing costs,3,3,0.3775406687981454
R0327,50-64,Woman,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Job loss / automation,3,2,0.3775406687981454
R0328,50-64,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Wages not keeping up,5,2,0.25922510081784605
R0329,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Retirement security,5,2,0.2689414213699951
R0330,18-34,Man,No college,South,Under $40k,Neither,1,Housing costs,4,3,0.425557483188341
R0331,35-49,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.21416501695744142
R0332,35-49,Woman,Some college,South,Over $80k,Somewhat oppose,1,Wages not keeping up,3,2,0.35434369377420455
R0333,35-49,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.31002551887238755
R0334,50-64,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,5,3,0.21416501695744142
R0335,50-64,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,0,Housing costs,4,1,0.29943285752602705
R0336,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Job loss / automation,5,3,0.3318122278318339
R0337,35-49,Man,No college,South,Under $40k,Neither,1,Job loss / automation,4,3,0.389360766050778
R0338,35-49,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,3,0.35434369377420455
R0339,18-34,Woman,Bachelor+,Northeast,$40k–$80k,Somewhat support,1,Housing costs,4,3,0.46257015465625045
R0340,18-34,Man,Bachelor+,Midwest,Over $80k,Strongly oppose,0,Job loss / automation,4,1,0.2689414213699951
R0341,18-34,Woman,Some college,West,Over $80k,Neither,0,Housing costs,4,3,0.43782349911420193
R0342,18-34,Woman,Bachelor+,West,,Neither,0,Retirement security,3,2,0.46257015465625045
R0343,18-34,Woman,Bachelor+,South,Over $80k,Neither,1,Housing costs,4,1,0.29943285752602705
R0344,18-34,Woman,Some college,Northeast,,Somewhat oppose,0,Housing costs,3,2,0.43782349911420193
R0345,18-34,Man,Some college,South,Over $80k,Somewhat oppose,1,Wages not keeping up,4,1,0.320821300824607
R0346,18-34,Man,No college,South,$40k–$80k,Neither,0,Job loss / automation,4,2,0.401312339887548
R0347,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Wages not keeping up,5,1,0.29943285752602705
R0348,50-64,Woman,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Healthcare costs,4,2,0.3775406687981454
R0349,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,5,1,0.2689414213699951
R0350,50-64,Woman,Bachelor+,West,$40k–$80k,Neither,0,Housing costs,4,1,0.3775406687981454
R0351,18-34,Woman,No college,West,$40k–$80k,Neither,1,Retirement security,3,3,0.52497918747894
R0352,65+,Man,Bachelor+,Midwest,Over $80k,Strongly oppose,0,Wages not keeping up,3,2,0.1750862681640398
R0353,35-49,Man,No college,Northeast,Over $80k,Somewhat oppose,0,Housing costs,5,1,0.29943285752602705
R0354,35-49,Woman,No college,South,Over $80k,Neither,1,Housing costs,4,2,0.320821300824607
R0355,18-34,Woman,Bachelor+,Northeast,Over $80k,Neither,1,Wages not keeping up,5,1,0.3429895373265012
R0356,18-34,Woman,Bachelor+,West,,Somewhat oppose,0,Healthcare costs,4,1,0.3429895373265012
R0357,35-49,Man,No college,Midwest,Over $80k,Somewhat oppose,1,Healthcare costs,4,3,0.28905049737499605
R0358,35-49,Man,No college,Midwest,Over $80k,Neither,0,Wages not keeping up,5,2,0.28905049737499605
R0359,35-49,Woman,Some college,Northeast,Under $40k,Neither,1,Housing costs,2,4,0.549833997312478
R0360,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,1,Wages not keeping up,3,2,0.45016600268752216
R0361,35-49,Woman,No college,West,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.36586440898919936
R0362,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Wages not keeping up,4,2,0.29943285752602705
R0363,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Wages not keeping up,4,1,0.27888482197713693
R0364,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Retirement security,4,3,0.29943285752602705
R0365,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Retirement security,5,2,0.2689414213699951
R0366,35-49,Woman,Bachelor+,South,Under $40k,Neither,0,Retirement security,3,2,0.401312339887548
R0367,18-34,Man,Some college,West,Under $40k,Neither,1,Job loss / automation,3,3,0.5124973964842103
R0368,35-49,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.24973989440488234
R0369,18-34,Woman,No college,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,3,2,0.389360766050778
R0370,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,1,Wages not keeping up,5,2,0.24048908305088898
R0371,18-34,Woman,Some college,West,Over $80k,Somewhat oppose,1,Wages not keeping up,3,3,0.43782349911420193
R0372,50-64,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,5,3,0.18242552380635635
R0373,18-34,Woman,Some college,West,$40k–$80k,Somewhat support,1,Job loss / automation,2,2,0.5621765008857981
R0374,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Job loss / automation,3,2,0.27888482197713693
R0375,35-49,Woman,Some college,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,4,3,0.389360766050778
R0376,18-34,Woman,Some college,Northeast,Over $80k,Neither,1,Job loss / automation,4,2,0.43782349911420193
R0377,18-34,Woman,Bachelor+,West,Under $40k,Neither,0,Wages not keeping up,4,2,0.4875026035157896
R0378,18-34,Woman,No college,West,Over $80k,Strongly oppose,0,Healthcare costs,3,1,0.401312339887548
R0379,35-49,Woman,Bachelor+,South,,Somewhat oppose,0,Job loss / automation,4,1,0.2689414213699951
R0380,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Wages not keeping up,4,1,0.31002551887238755
R0381,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,1,Wages not keeping up,4,2,0.24048908305088898
R0382,35-49,Man,No college,South,$40k–$80k,Somewhat oppose,1,Job loss / automation,3,2,0.36586440898919936
R0383,18-34,Woman,Bachelor+,South,$40k–$80k,Neither,1,Wages not keeping up,4,2,0.41338242108267
R0384,18-34,Man,Some college,South,$40k–$80k,Neither,1,Healthcare costs,4,1,0.43782349911420193
R0385,35-49,Woman,No college,West,Over $80k,Somewhat oppose,1,Housing costs,4,2,0.36586440898919936
R0386,35-49,Woman,Bachelor+,Midwest,$40k–$80k,Neither,0,Job loss / automation,3,2,0.41338242108267
R0387,35-49,Man,Some college,South,Over $80k,Somewhat oppose,1,Retirement security,4,3,0.28905049737499605
R0388,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Retirement security,4,1,0.29943285752602705
R0389,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.3429895373265012
R0390,35-49,Woman,Some college,Midwest,$40k–$80k,Neither,0,Retirement security,2,2,0.5124973964842103
R0391,35-49,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Job loss / automation,4,2,0.31002551887238755
R0392,18-34,Woman,Bachelor+,Midwest,Over $80k,Neither,0,Housing costs,3,2,0.3318122278318339
R0393,18-34,Man,Some college,Northeast,Over $80k,Somewhat oppose,1,Job loss / automation,5,2,0.36586440898919936
R0394,35-49,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Housing costs,4,3,0.24048908305088898
R0395,35-49,Man,No college,West,Over $80k,Somewhat oppose,0,Healthcare costs,5,2,0.29943285752602705
R0396,50-64,Woman,No college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,3,0.27888482197713693
R0397,18-34,Man,Bachelor+,South,Under $40k,Neither,1,Wages not keeping up,4,3,0.36586440898919936
R0398,50-64,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.2689414213699951
R0399,50-64,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Job loss / automation,5,2,0.2689414213699951
R0400,50-64,Man,No college,South,Over $80k,Somewhat oppose,1,Healthcare costs,4,1,0.22270013882530884
R0401,18-34,Man,Bachelor+,South,$40k–$80k,Neither,0,Job loss / automation,5,2,0.34298953732650117
R0402,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Retirement security,5,2,0.31002551887238755
R0403,50-64,Woman,Some college,South,Over $80k,Neither,0,Job loss / automation,4,3,0.31002551887238755
R0404,65+,Man,Bachelor+,South,,Somewhat oppose,1,Retirement security,4,3,0.15446526508353467
R0405,18-34,Woman,Some college,South,$40k–$80k,Somewhat support,1,Retirement security,3,2,0.5124973964842103
R0406,35-49,Woman,Some college,South,Over $80k,Neither,0,Healthcare costs,3,3,0.35434369377420455
R0407,35-49,Woman,Bachelor+,West,Under $40k,Neither,1,Wages not keeping up,4,2,0.45016600268752216
R0408,35-49,Woman,Some college,Midwest,Over $80k,Neither,0,Wages not keeping up,4,2,0.389360766050778
R0409,50-64,Woman,Some college,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.31002551887238755
R0410,18-34,Woman,Some college,South,$40k–$80k,Neither,0,Wages not keeping up,4,3,0.5124973964842103
R0411,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,1,Healthcare costs,4,2,0.24048908305088898
R0412,18-34,Man,Bachelor+,Midwest,Over $80k,Strongly oppose,0,Wages not keeping up,3,2,0.2689414213699951
R0413,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Retirement security,5,2,0.29943285752602705
R0414,18-34,Woman,No college,West,,Somewhat support,0,Retirement security,5,3,0.52497918747894
R0415,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.3318122278318339
R0416,35-49,Man,Bachelor+,South,Under $40k,Neither,0,Wages not keeping up,5,2,0.3318122278318339
R0417,18-34,Man,Bachelor+,South,$40k–$80k,Somewhat oppose,0,Healthcare costs,4,3,0.34298953732650117
R0418,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,4,0.29943285752602705
R0419,35-49,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.24048908305088898
R0420,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,0,Healthcare costs,3,2,0.45016600268752216
R0421,35-49,Man,Some college,West,Over $80k,Somewhat oppose,0,Job loss / automation,5,1,0.3318122278318339
R0422,18-34,Woman,Bachelor+,South,,Neither,0,Healthcare costs,5,2,0.29943285752602705
R0423,50-64,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,5,2,0.23147521650098238
R0424,65+,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.23147521650098232
R0425,35-49,Man,Some college,West,Over $80k,Somewhat oppose,1,Housing costs,4,2,0.3318122278318339
R0426,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Retirement security,4,2,0.27888482197713693
R0427,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,1,Healthcare costs,4,3,0.2689414213699951
R0428,18-34,Man,No college,West,Over $80k,Somewhat oppose,0,Retirement security,4,2,0.3318122278318339
R0429,18-34,Man,Bachelor+,Northeast,$40k–$80k,Somewhat oppose,0,Job loss / automation,4,2,0.389360766050778
R0430,35-49,Man,No college,Northeast,$40k–$80k,Somewhat oppose,1,Wages not keeping up,5,3,0.41338242108267
R0431,18-34,Man,Bachelor+,Northeast,Over $80k,Neither,1,Wages not keeping up,4,3,0.27888482197713693
R0432,18-34,Man,Some college,South,Over $80k,Neither,0,Healthcare costs,4,1,0.320821300824607
R0433,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Wages not keeping up,4,2,0.3318122278318339
R0434,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.24048908305088898
R0435,18-34,Woman,Bachelor+,Midwest,,Neither,0,Job loss / automation,3,3,0.47502081252106
R0436,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Job loss / automation,4,2,0.29943285752602705
R0437,18-34,Man,Bachelor+,South,,Somewhat oppose,0,Healthcare costs,4,1,0.34298953732650117
R0438,35-49,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,5,1,0.2689414213699951
R0439,35-49,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,1,Housing costs,5,2,0.24048908305088898
R0440,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,1,Wages not keeping up,3,3,0.45016600268752216
R0441,18-34,Woman,Bachelor+,South,$40k–$80k,Somewhat oppose,1,Housing costs,4,2,0.41338242108267
R0442,18-34,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,0,Healthcare costs,4,2,0.3775406687981454
R0443,18-34,Woman,Bachelor+,Midwest,$40k–$80k,Neither,1,Retirement security,4,4,0.45016600268752216
R0444,18-34,Woman,No college,Northeast,Over $80k,Neither,0,Job loss / automation,4,2,0.401312339887548
R0445,65+,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.19781611144141825
R0446,18-34,Man,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Healthcare costs,4,3,0.27888482197713693
R0447,50-64,Man,Some college,South,Over $80k,Somewhat oppose,0,Job loss / automation,4,1,0.24973989440488245
R0448,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,0,Healthcare costs,5,1,0.3429895373265012
R0449,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Retirement security,4,2,0.27888482197713693
R0450,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.3429895373265012
R0451,35-49,Woman,Bachelor+,Midwest,$40k–$80k,Neither,1,Wages not keeping up,3,2,0.41338242108267
R0452,18-34,Man,Bachelor+,Midwest,,Somewhat oppose,0,Wages not keeping up,4,2,0.2689414213699951
R0453,18-34,Man,Bachelor+,South,$40k–$80k,Neither,0,Housing costs,4,1,0.34298953732650117
R0454,50-64,Woman,Bachelor+,Midwest,Under $40k,Somewhat oppose,0,Job loss / automation,3,3,0.389360766050778
R0455,50-64,Woman,Some college,West,$40k–$80k,Neither,1,Wages not keeping up,3,3,0.47502081252106
R0456,18-34,Woman,No college,West,Over $80k,Neither,0,Retirement security,5,1,0.401312339887548
R0457,50-64,Woman,Bachelor+,Northeast,,Somewhat oppose,0,Healthcare costs,5,1,0.2689414213699951
R0458,18-34,Woman,Bachelor+,South,Over $80k,Somewhat oppose,0,Housing costs,4,1,0.29943285752602705
R0459,50-64,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Healthcare costs,4,1,0.18242552380635635
R0460,18-34,Woman,Bachelor+,Northeast,$40k–$80k,Neither,0,Housing costs,4,2,0.46257015465625045
R0461,18-34,Man,No college,South,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.28905049737499605
R0462,18-34,Woman,Bachelor+,West,Over $80k,Somewhat oppose,0,Housing costs,5,2,0.3429895373265012
R0463,50-64,Man,Bachelor+,West,Over $80k,Neither,0,Housing costs,4,1,0.21416501695744142
R0464,18-34,Man,Bachelor+,South,Over $80k,Somewhat oppose,0,Job loss / automation,5,2,0.24048908305088898
R0465,18-34,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,4,2,0.3318122278318339
R0466,50-64,Woman,No college,Northeast,Under $40k,Neither,0,Housing costs,3,2,0.46257015465625045
R0467,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,0,Housing costs,3,3,0.27888482197713693
R0468,35-49,Man,Bachelor+,West,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,1,0.35434369377420455
R0469,50-64,Man,Some college,Midwest,$40k–$80k,Somewhat oppose,0,Wages not keeping up,4,2,0.389360766050778
R0470,35-49,Woman,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Healthcare costs,5,1,0.29943285752602705
R0471,18-34,Woman,Bachelor+,Northeast,$40k–$80k,Neither,1,Healthcare costs,4,2,0.46257015465625045
R0472,18-34,Man,Bachelor+,South,Under $40k,Somewhat oppose,0,Housing costs,4,2,0.36586440898919936
R0473,18-34,Man,Some college,Northeast,Over $80k,Somewhat oppose,0,Housing costs,5,3,0.36586440898919936
R0474,18-34,Man,Bachelor+,Midwest,$40k–$80k,Somewhat oppose,0,Healthcare costs,3,2,0.3775406687981454
R0475,35-49,Woman,Bachelor+,Northeast,Under $40k,Neither,0,Housing costs,3,2,0.45016600268752216
R0476,65+,Man,Some college,Midwest,$40k–$80k,Somewhat oppose,1,Retirement security,3,2,0.34298953732650117
R0477,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Job loss / automation,5,2,0.2689414213699951
R0478,18-34,Man,No college,South,$40k–$80k,Neither,0,Job loss / automation,4,2,0.401312339887548
R0479,35-49,Man,Bachelor+,West,$40k–$80k,Neither,0,Housing costs,3,3,0.35434369377420455
R0480,50-64,Man,Some college,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,4,1,0.27888482197713693
R0481,50-64,Woman,Bachelor+,Northeast,,Somewhat oppose,0,Wages not keeping up,3,2,0.2689414213699951
R0482,50-64,Man,Bachelor+,South,Over $80k,Strongly oppose,0,Job loss / automation,5,1,0.18242552380635635
R0483,18-34,Man,Bachelor+,West,Over $80k,Somewhat oppose,1,Wages not keeping up,3,2,0.27888482197713693
R0484,18-34,Man,Bachelor+,Midwest,Over $80k,Somewhat oppose,0,Wages not keeping up,4,2,0.2689414213699951
R0485,35-49,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Housing costs,4,2,0.31002551887238755
R0486,18-34,Woman,Some college,Northeast,,Neither,1,Wages not keeping up,4,4,0.43782349911420193
R0487,35-49,Woman,Bachelor+,West,Over $80k,Somewhat oppose,1,Housing costs,4,3,0.31002551887238755
R0488,35-49,Man,Bachelor+,South,Under $40k,Neither,1,Retirement security,4,3,0.3318122278318339
R0489,65+,Man,Some college,West,$40k–$80k,Somewhat oppose,1,Job loss / automation,5,2,0.35434369377420455
R0490,50-64,Man,No college,South,Under $40k,Somewhat oppose,0,Retirement security,4,1,0.3429895373265012
R0491,18-34,Man,Bachelor+,South,Under $40k,Neither,1,Wages not keeping up,4,2,0.36586440898919936
R0492,18-34,Woman,Bachelor+,Northeast,Over $80k,Somewhat oppose,1,Retirement security,5,2,0.3429895373265012
R0493,50-64,Man,Bachelor+,West,,Somewhat oppose,0,Wages not keeping up,4,1,0.21416501695744142
R0494,18-34,Woman,No college,Midwest,Under $40k,Neither,0,Housing costs,3,3,0.5374298453437496
R0495,18-34,Man,Bachelor+,Northeast,$40k–$80k,Neither,0,Retirement security,3,3,0.389360766050778
